Name,Colors,Speed,Scale
String,String,int,int
FreeOffer,0xFF9FFF72,40,100
,0xFF68E524,,
,0xFF68E524,,
,0xFF9FFF72,,
,0xFFE0FFA0,,
Golden,0xFFFFFABC,50,100
,0xFFFFD12E,,
,0xFFF29928,,
,0xFFFFD12E,,
Purple,0xFFFABCFF,50,100
,0xFFD12EFF,,
,0xFF9928F2,,
,0xFFD12EFF,,
DoubleTokenGold,0xFFFFDAAC,50,70
,0xFFFFD12E,,
,0xFFF29928,,
,0xFFFFD12E,,
Premium1,0xFFFF0A0A,70,100
,0xFFE60E9E,,
,0xFFE514FF,,
,0xFFFD67FB,,
Premium2,0xFFFF7300,50,100
,0xFFA700F5,,
,0xFFF80D0D,,
,0xFFFFF700,,
Premium3,0xFF52F3FF,50,100
,0xFFFBFF00,,
,0xFFE92584,,
,0xFF0F3FFF,,
Premium4,0xFF00FF9D,50,150
,0xFF00FF74,,
,0xFF35FF05,,
,0xFFE1FF00,,
"Name15","0xFFFF6D0A",35,100
,"0xFFc71585",,
,"0xFFff1493",,
,"0xFFdc143c",,
,"0xFFff0000",,
,"0xFFb22222",,
,"0xFF8b0000",,
"Name16","0xFFFF6D0A",35,100
,"0xFFffffff",,
,"0xFFfffafa",,
,"0xFFfdf5e6",,
"Name17","0xFFFF6D0A",35,100
,"0xFF00ffff",,
,"0xFF00bfff",,
,"0xFF7b68ee",,
"Name18","0xFFFF6D0A",35,100
,"0xFF4b0082",,
,"0xFFff00ff",,
,"0xFF8a2be2",,